carrier,0
AC,0.85700210204812
EV battery,0.468005146752962
H2,35.79940200545081
agriculture machinery oil,69.96001059820546
battery,0.9382777720725212
biogas,62.44530139726988
co2,-52.43445476943735
co2 sequestered,-10.089175160711584
co2 stored,-10.09917928507449
gas,24.578383377459016
gas for industry,34.97051424607077
home battery,0.5903791707995822
industry methanol,61.22695853750266
kerosene for aviation,69.95978467673463
low voltage,0.4806270846006236
methanol,48.21219303912636
naphtha for industry,58.34495555160851
non-sequestered HVC,-13.490339782641913
none,0.0
oil,56.46971965897287
oil primary,52.92206704324998
process emissions,-48.716348451386544
rural heat,1.7885924871851233
rural water tanks,1.7887092811694831
shipping methanol,61.22618211984584
solid biomass,13.65963173332209
solid biomass for industry,13.66949348462634
urban central heat,1.5585899131207341
urban central water pits,1.290868395086988
urban central water tanks,1.293932087396488
urban decentral heat,1.7887208073127885
urban decentral water tanks,1.7889051604268411
